cat_id,store_id,state_id,d,demand,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,is_weekend
FOODS,CA_1,CA,d_1,3239,2011-01-29,11101,Saturday,1,1,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,1
FOODS,CA_1,CA,d_2,3137,2011-01-30,11101,Sunday,2,1,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,1
FOODS,CA_1,CA,d_3,2008,2011-01-31,11101,Monday,3,1,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_4,2258,2011-02-01,11101,Tuesday,4,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,0,0
FOODS,CA_1,CA,d_5,2032,2011-02-02,11101,Wednesday,5,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,0,1,0
FOODS,CA_1,CA,d_6,2407,2011-02-03,11101,Thursday,6,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,1,0
FOODS,CA_1,CA,d_7,2693,2011-02-04,11101,Friday,7,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,0,0,0
FOODS,CA_1,CA,d_8,3962,2011-02-05,11102,Saturday,1,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,1,1
FOODS,CA_1,CA,d_9,3418,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,NoEvent,NoEvent,1,1,1,1
FOODS,CA_1,CA,d_10,2446,2011-02-07,11102,Monday,3,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,0,0
FOODS,CA_1,CA,d_11,2138,2011-02-08,11102,Tuesday,4,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,0,1,0
FOODS,CA_1,CA,d_12,2001,2011-02-09,11102,Wednesday,5,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,1,0
FOODS,CA_1,CA,d_13,2137,2011-02-10,11102,Thursday,6,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,0,0,0
FOODS,CA_1,CA,d_14,2217,2011-02-11,11102,Friday,7,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,1,1,0
FOODS,CA_1,CA,d_15,3067,2011-02-12,11103,Saturday,1,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,1,1,1
FOODS,CA_1,CA,d_16,3313,2011-02-13,11103,Sunday,2,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,1,0,1
FOODS,CA_1,CA,d_17,2003,2011-02-14,11103,Monday,3,2,2011,ValentinesDay,Cultural,NoEvent,NoEvent,0,0,1,0
FOODS,CA_1,CA,d_18,1779,2011-02-15,11103,Tuesday,4,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,1,1,0
FOODS,CA_1,CA,d_19,1670,2011-02-16,11103,Wednesday,5,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_20,1433,2011-02-17,11103,Thursday,6,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_21,2250,2011-02-18,11103,Friday,7,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_22,3148,2011-02-19,11104,Saturday,1,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,1
FOODS,CA_1,CA,d_23,2864,2011-02-20,11104,Sunday,2,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,1
FOODS,CA_1,CA,d_24,2105,2011-02-21,11104,Monday,3,2,2011,PresidentsDay,National,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_25,1621,2011-02-22,11104,Tuesday,4,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_26,1608,2011-02-23,11104,Wednesday,5,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_27,1639,2011-02-24,11104,Thursday,6,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_28,1875,2011-02-25,11104,Friday,7,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_29,2574,2011-02-26,11105,Saturday,1,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,1
FOODS,CA_1,CA,d_30,2733,2011-02-27,11105,Sunday,2,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,1
FOODS,CA_1,CA,d_31,1732,2011-02-28,11105,Monday,3,2,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_32,1896,2011-03-01,11105,Tuesday,4,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,0,0
FOODS,CA_1,CA,d_33,1965,2011-03-02,11105,Wednesday,5,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,0,1,0
FOODS,CA_1,CA,d_34,1984,2011-03-03,11105,Thursday,6,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,1,0
FOODS,CA_1,CA,d_35,2369,2011-03-04,11105,Friday,7,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,0,0,0
FOODS,CA_1,CA,d_36,3223,2011-03-05,11106,Saturday,1,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,1,1
FOODS,CA_1,CA,d_37,3464,2011-03-06,11106,Sunday,2,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,1,1
FOODS,CA_1,CA,d_38,2262,2011-03-07,11106,Monday,3,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,1,0,0
FOODS,CA_1,CA,d_39,2165,2011-03-08,11106,Tuesday,4,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,0,1,0
FOODS,CA_1,CA,d_40,2100,2011-03-09,11106,Wednesday,5,3,2011,LentStart,Religious,NoEvent,NoEvent,1,1,1,0
FOODS,CA_1,CA,d_41,2003,2011-03-10,11106,Thursday,6,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,1,0,0,0
FOODS,CA_1,CA,d_42,2480,2011-03-11,11106,Friday,7,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,1,1,0
FOODS,CA_1,CA,d_43,2895,2011-03-12,11107,Saturday,1,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,1,1,1
FOODS,CA_1,CA,d_44,3081,2011-03-13,11107,Sunday,2,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,1,0,1
FOODS,CA_1,CA,d_45,2079,2011-03-14,11107,Monday,3,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,0,1,0
FOODS,CA_1,CA,d_46,1656,2011-03-15,11107,Tuesday,4,3,2011,NoEvent,NoEvent,NoEvent,NoEvent,0,1,1,0
FOODS,CA_1,CA,d_47,1805,2011-03-16,11107,Wednesday,5,3,2011,LentWeek2,Religious,NoEvent,NoEvent,0,0,0,0
FOODS,CA_1,CA,d_48,1657,2011-03-17,11107,Thursday,6,3,2011,StPatricksDay,Cultural,NoEvent,NoEvent,0,0,0,0
