horizon,fold,train_target_start,train_target_end,validation_target_start,validation_target_end,test_target_start,test_target_end,n_train,n_validation,n_test
1,1,2011-02-27,2015-11-08,2015-11-09,2015-12-06,2015-12-07,2016-01-03,51480,840,840
1,2,2011-02-27,2015-12-06,2015-12-07,2016-01-03,2016-01-04,2016-01-31,52320,840,840
1,3,2011-02-27,2016-01-03,2016-01-04,2016-01-31,2016-02-01,2016-02-28,53160,840,840
1,4,2011-02-27,2016-01-31,2016-02-01,2016-02-28,2016-02-29,2016-03-27,54000,840,840
1,5,2011-02-27,2016-02-28,2016-02-29,2016-03-27,2016-03-28,2016-04-24,54840,840,840
7,1,2011-03-05,2015-11-08,2015-11-09,2015-12-06,2015-12-07,2016-01-03,51300,840,840
7,2,2011-03-05,2015-12-06,2015-12-07,2016-01-03,2016-01-04,2016-01-31,52140,840,840
7,3,2011-03-05,2016-01-03,2016-01-04,2016-01-31,2016-02-01,2016-02-28,52980,840,840
7,4,2011-03-05,2016-01-31,2016-02-01,2016-02-28,2016-02-29,2016-03-27,53820,840,840
7,5,2011-03-05,2016-02-28,2016-02-29,2016-03-27,2016-03-28,2016-04-24,54660,840,840
14,1,2011-03-12,2015-11-08,2015-11-09,2015-12-06,2015-12-07,2016-01-03,51090,840,840
14,2,2011-03-12,2015-12-06,2015-12-07,2016-01-03,2016-01-04,2016-01-31,51930,840,840
14,3,2011-03-12,2016-01-03,2016-01-04,2016-01-31,2016-02-01,2016-02-28,52770,840,840
14,4,2011-03-12,2016-01-31,2016-02-01,2016-02-28,2016-02-29,2016-03-27,53610,840,840
14,5,2011-03-12,2016-02-28,2016-02-29,2016-03-27,2016-03-28,2016-04-24,54450,840,840
28,1,2011-03-26,2015-11-08,2015-11-09,2015-12-06,2015-12-07,2016-01-03,50670,840,840
28,2,2011-03-26,2015-12-06,2015-12-07,2016-01-03,2016-01-04,2016-01-31,51510,840,840
28,3,2011-03-26,2016-01-03,2016-01-04,2016-01-31,2016-02-01,2016-02-28,52350,840,840
28,4,2011-03-26,2016-01-31,2016-02-01,2016-02-28,2016-02-29,2016-03-27,53190,840,840
28,5,2011-03-26,2016-02-28,2016-02-29,2016-03-27,2016-03-28,2016-04-24,54030,840,840
