layer,column_order,column_name
category_store,1,cat_id
category_store,2,store_id
category_store,3,state_id
category_store,4,d
category_store,5,demand
category_store,6,date
category_store,7,wm_yr_wk
category_store,8,weekday
category_store,9,wday
category_store,10,month
category_store,11,year
category_store,12,event_name_1
category_store,13,event_type_1
category_store,14,event_name_2
category_store,15,event_type_2
category_store,16,snap_CA
category_store,17,snap_TX
category_store,18,snap_WI
category_store,19,is_weekend
category_store,20,ADI
category_store,21,CV2
category_store,22,demand_regime
category_store,23,lag_1
category_store,24,lag_7
category_store,25,lag_14
category_store,26,lag_28
category_store,27,rolling_mean_7
category_store,28,rolling_std_7
category_store,29,rolling_mean_14
category_store,30,rolling_std_14
category_store,31,rolling_mean_28
category_store,32,rolling_std_28
category_store,33,dayofweek
category_store,34,dayofmonth
category_store,35,weekofyear
category_store,36,quarter
category_store,37,month_sin
category_store,38,month_cos
category_store,39,dow_sin
category_store,40,dow_cos
category_store,41,has_event_1
category_store,42,has_event_2
category_store,43,has_any_event
category_store,44,snap_active
category_store,45,avg_sell_price
category_store,46,median_sell_price
category_store,47,min_sell_price
category_store,48,max_sell_price
category_store,49,std_sell_price
category_store,50,n_priced_items
category_store,51,avg_price_lag_7
category_store,52,avg_price_change_7
category_store,53,avg_price_rolling_mean_28
category_store,54,avg_price_rolling_std_28
item_store,1,id
item_store,2,item_id
item_store,3,dept_id
item_store,4,cat_id
item_store,5,store_id
item_store,6,state_id
item_store,7,d
item_store,8,demand
item_store,9,date
item_store,10,wm_yr_wk
item_store,11,weekday
item_store,12,wday
item_store,13,month
item_store,14,year
item_store,15,event_name_1
item_store,16,event_type_1
item_store,17,event_name_2
item_store,18,event_type_2
item_store,19,snap_CA
item_store,20,snap_TX
item_store,21,snap_WI
item_store,22,is_weekend
item_store,23,ADI
item_store,24,CV2
item_store,25,demand_regime
item_store,26,sell_price
item_store,27,lag_1
item_store,28,lag_7
item_store,29,lag_14
item_store,30,lag_28
item_store,31,rolling_mean_7
item_store,32,rolling_std_7
item_store,33,rolling_mean_14
item_store,34,rolling_std_14
item_store,35,rolling_mean_28
item_store,36,rolling_std_28
item_store,37,price_lag_7
item_store,38,price_change_7
item_store,39,price_rolling_mean_28
item_store,40,price_rolling_std_28
item_store,41,dayofweek
item_store,42,dayofmonth
item_store,43,weekofyear
item_store,44,quarter
item_store,45,month_sin
item_store,46,month_cos
item_store,47,dow_sin
item_store,48,dow_cos
item_store,49,has_event_1
item_store,50,has_event_2
item_store,51,has_any_event
item_store,52,snap_active
